prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,throughput_normalized,edp_efficiency_normalized,reward,end_to_end_latency
6,0,2,128.0073245,5.8813,6.197101831,0.004,0.0543,20.5002,62.3,0.65833,False,False,False,38.08681106,0.001328287,0.20933380211480546,0.0,19.2103,21.7901,0.0569,5.8244,24,200,19.2103,21.7901,0.021807975844899408,0.5263617684993552,0.20933380211480546,5.8812999999999995
8,0,2,128.3242661,5.8788,6.19935751,0.0044,0.0543,20.61515,62.2,0.656414167,False,False,False,38.10300774,0.00132557,0.20787636850754085,0.0,19.378,21.8523,0.057,5.8218,24,200,19.378,21.8523,0.021826529553764906,0.5246639321315377,0.20787636850754085,5.8788
10,0,2,129.5895984,5.8912,6.2073524,0.0038,0.0547,20.8836,62.2,0.65194,False,False,False,39.72025399,0.001309864,0.2054121092722283,0.0,19.748,22.0192,0.0572,5.834,34,200,19.748,22.0192,0.023679126264097874,0.5148493506103963,0.2054121092722283,5.8911999999999995
7,0,2,127.9308011,5.8764,6.194037676,0.004,0.0544,20.6111,63.6,0.656481667,False,False,False,37.77822514,0.00133019,0.22051908984110907,0.0,19.429,21.7932,0.057,5.8194,22,200,19.429,21.7932,0.021454482825362605,0.5275509413399723,0.22051908984110907,5.8764
9,0,2,128.3772814,5.8788,6.191510916,0.0041,0.0539,20.7366,62.8,0.65439,False,False,False,38.44321317,0.001325022,0.2130162373179531,0.0,19.6143,21.8589,0.0565,5.8223,26,200,19.6143,21.8589,0.022216243526176595,0.5243214903466411,0.2130162373179531,5.8788
1,0,3,132.159121,6.003,6.328558922,0.0048,0.0592,20.5109,60.9,0.658151667,False,False,False,55.97200467,0.001260476,0.1961516800519032,0.0,18.9745,22.0473,0.0621,5.9409,36,300,18.9745,22.0473,0.04229591999413098,0.48398709719347716,0.1961516800519032,6.003
0,0,3,132.2987156,6.0175,6.333806038,0.0048,0.069,20.44825,60.0,0.659195833,False,False,False,57.33276987,0.001256112,0.1896564943556755,0.0,18.8732,22.0233,0.0719,5.9456,45,300,18.8732,22.0233,0.043854711138680294,0.4812600607896658,0.1896564943556755,6.0175
5,0,3,132.524837,6.0098,6.332946062,0.0048,0.063,20.65585,61.6,0.655735833,False,False,False,57.40622693,0.001255575,0.20125368658527687,0.0,19.229,22.0827,0.0658,5.944,45,300,19.229,22.0827,0.04393885806912254,0.48092449283621796,0.20125368658527687,6.0098
2,0,3,130.6173035,5.9962,6.31943512,0.0044,0.0574,20.4094,61.2,0.659843333,False,False,False,55.53516301,0.001276801,0.20164102678459467,0.0,19.0073,21.8115,0.0602,5.936,33,300,19.0073,21.8115,0.04179550676253289,0.49418848795704734,0.20164102678459467,5.9962
8,0,3,131.2072366,6.0054,6.324359894,0.0043,0.0544,20.65795,61.8,0.655700833,False,False,False,56.44918632,0.001269113,0.20508605019162776,0.0,19.4447,21.8712,0.0569,5.9485,39,300,19.4447,21.8712,0.04284254371022942,0.48938430466820654,0.20508605019162776,6.0054
