prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,inverse_energy_normalized,headroom_threshold_met,energy_min,energy_max,throughput_normalized,edp_efficiency_normalized,performance_metric,reward
10,10,32,174.39761382,4.2054,4.719233512878418,0.0128,0.082,37.43155,88.54965,0.3761408333333333,False,False,False,882.6744465034369,0.0013634906074350278,0.7992873003306974,0.0,33.2218,41.6413,0.0856,4.1198,512,3200,33.2218,41.6413,0.7992873003306974,True,109.66024753000002,432.19771724,0.9580777276744485,0.6127723574044088,0.7992873003306974,0.7992873003306974
10,10,26,165.94141649999997,4.1982,4.713869333267212,0.011,0.0746,36.6066,88.76035,0.38989,False,False,False,712.2098251131854,0.0014354302099149412,0.8255050211046688,0.0,33.5737,39.6395,0.078,4.1202,390,2600,33.5737,39.6395,0.8255050211046688,True,109.66024753000002,432.19771724,0.771421050767604,0.648152805632806,0.8255050211046688,0.8255050211046688
10,10,16,152.22118136999998,4.2183,4.731349229812622,0.0082,0.0546,33.86445,89.13964999999999,0.43559250000000005,False,False,False,436.1945721749112,0.0015573543785571183,0.8680434435159817,0.0,31.5804,36.1485,0.0578,4.1605,240,1600,31.5804,36.1485,0.8680434435159817,True,109.66024753000002,432.19771724,0.4691877224154798,0.708116046848093,0.8680434435159817,0.8680434435159817
10,10,8,139.44544316,4.218999999999999,4.7395405769348145,0.0058,0.0525,30.8114,88.7748,0.48647666666666667,False,False,False,218.06110024624314,0.0016997542942676716,0.9076535335358696,0.0,28.5106,33.1122,0.0554,4.1636,120,800,28.5106,33.1122,0.9076535335358696,True,109.66024753000002,432.19771724,0.23033423680485152,0.7781494175069327,0.9076535335358696,0.9076535335358696
10,10,5,135.79855422000003,4.2374,4.753451585769653,0.0049,0.0522,29.22645,89.2316,0.5128925,False,False,False,132.1564798800019,0.0017378223995819719,0.9189604026053112,0.0,26.3301,32.1228,0.055,4.1824,60,500,26.3301,32.1228,0.9189604026053112,True,109.66024753000002,432.19771724,0.13626972747890873,0.7968716036574863,0.9189604026053112,0.9189604026053112
10,10,4,133.61829185,4.2154,4.7251222133636475,0.0044,0.0516,28.773049999999998,88.68950000000001,0.5204491666666667,False,False,False,107.22586060021337,0.0017753962266725386,0.9257201206993372,0.0,25.7714,31.7747,0.0541,4.1613,52,400,25.7714,31.7747,0.9257201206993372,True,109.66024753000002,432.19771724,0.10897100408373764,0.8153506999868235,0.9257201206993372,0.9257201206993372
10,10,3,133.01262507,4.2326999999999995,4.741922378540039,0.004,0.0519,28.2999,89.08345,0.528335,False,False,False,79.38193602619226,0.00177619092364762,0.927597939051867,0.0,25.0925,31.5073,0.0543,4.1784,36,300,25.0925,31.5073,0.927597939051867,True,109.66024753000002,432.19771724,0.0784822469994549,0.8157415380539643,0.927597939051867,0.927597939051867
10,10,2,131.392139,4.2505,4.760647773742676,0.0036,0.0512,27.91725,88.763,0.5347125,False,False,False,52.229137224059,0.0017905670811948786,0.9326221183246102,0.0,24.845,30.9895,0.0535,4.197,22,200,24.845,30.9895,0.9326221183246102,True,109.66024753000002,432.19771724,0.04875026418805738,0.8228118425912473,0.9326221183246102,0.9326221183246102
10,10,1,128.83894029,4.1972000000000005,4.715149641036987,0.0031,0.0499,27.97045,88.68225,0.5338258333333333,False,False,False,26.207941911764525,0.0018492396255961083,0.9405380938306364,0.0,25.1751,30.7658,0.0521,4.1451,10,100,25.1751,30.7658,0.9405380938306364,True,109.66024753000002,432.19771724,0.02025737336693236,0.8516674499070599,0.9405380938306364,0.9405380938306364
10,9,32,165.61492357999998,4.1964999999999995,4.716245651245117,0.013,0.0795,32.63545,89.0146,0.45607583333333335,False,False,False,869.2956346251318,0.0014388426524708264,0.8265172846419674,0.0,25.5239,39.747,0.0832,4.1133,448,3200,25.5239,39.747,0.8265172846419674,True,109.66024753000002,432.19771724,0.9434280921911466,0.649831071052949,0.8265172846419674,0.8265172846419674
10,9,26,160.36332538,4.1786,4.701132774353027,0.0113,0.0751,35.33055,89.6189,0.41115749999999995,False,False,False,715.5504916597683,0.001492327513493833,0.8427994183262237,0.0,32.1644,38.4967,0.0788,4.0998,390,2600,32.1644,38.4967,0.8427994183262237,True,109.66024753000002,432.19771724,0.7750790398045873,0.6761353358972796,0.8427994183262237,0.8427994183262237
10,9,16,146.72023148000002,4.2064,4.727406978607178,0.0082,0.0544,32.6402,89.71345,0.45599666666666666,False,False,False,433.62484936647735,0.0016203149050099223,0.8850986709131146,0.0,30.3372,34.9432,0.0575,4.1489,224,1600,30.3372,34.9432,0.8850986709131146,True,109.66024753000002,432.19771724,0.46637390734885736,0.7390805166228327,0.8850986709131146,0.8850986709131146
10,9,8,136.39289526,4.2051,4.724915504455566,0.0064,0.0529,30.377850000000002,89.79875,0.4937025,False,False,False,214.9770005524243,0.0017435400298839033,0.9171176987466422,0.0,28.2645,32.4912,0.0558,4.1493,104,800,28.2645,32.4912,0.9171176987466422,True,109.66024753000002,432.19771724,0.2269571853357391,0.7996835780903877,0.9171176987466422,0.9171176987466422
10,9,5,132.39047564,4.2283,4.740478754043579,0.005,0.0518,28.50295,89.58494999999999,0.5249508333333334,False,False,False,133.62341044310705,0.0017863948729769014,0.9295268604592292,0.0,25.6209,31.385,0.0546,4.1737,65,500,25.6209,31.385,0.9295268604592292,True,109.66024753000002,432.19771724,0.1378759985158498,0.8207599185915915,0.9295268604592292,0.9295268604592292
10,9,4,131.04682812000001,4.2366,4.751246213912964,0.0045,0.0521,27.9752,89.8229,0.5337466666666667,False,False,False,110.46591359441211,0.0018011754697636083,0.9336927253468283,0.0,24.9398,31.0106,0.0548,4.1818,68,400,24.9398,31.0106,0.9336927253468283,True,109.66024753000002,432.19771724,0.11251882251061619,0.8280291294486144,0.9336927253468283,0.9336927253468283
10,9,3,128.78754194,4.203,4.719793319702148,0.004,0.0515,27.586,89.4302,0.5402333333333333,False,False,False,79.94287890961719,0.0018474247387202905,0.9406974500444933,0.0,24.4499,30.7221,0.0538,4.1492,36,300,24.4499,30.7221,0.9406974500444933,True,109.66024753000002,432.19771724,0.07909647260064248,0.8507748746225607,0.9406974500444933,0.9406974500444933
10,9,2,127.87966916,4.2027,4.716682195663452,0.0037,0.0515,27.5043,89.7124,0.5415949999999999,False,False,False,53.29905696360507,0.0018606732119676892,0.9435122324039391,0.0,24.5038,30.5048,0.0538,4.1489,24,200,24.5038,30.5048,0.9435122324039391,True,109.66024753000002,432.19771724,0.04992181322569321,0.8572905753725861,0.9435122324039391,0.9435122324039391
10,9,1,125.10895826,4.1593,4.681159496307373,0.0033,0.0484,27.111150000000002,89.5737,0.5481475,False,False,False,27.889301591781887,0.001921725465611976,0.9521025859603529,0.0,24.0688,30.1535,0.0507,4.1086,16,100,24.0688,30.1535,0.9521025859603529,True,109.66024753000002,432.19771724,0.022098441666017817,0.8873165419449172,0.9521025859603529,0.9521025859603529
10,8,32,160.67099084,4.2348,4.754762411117554,0.013,0.0986,32.03205,89.69295,0.4661325,False,False,False,891.6593719515982,0.0014697031432986912,0.8418455277277868,0.0,25.8232,38.2409,0.1024,4.1324,576,3200,25.8232,38.2409,0.8418455277277868,True,109.66024753000002,432.19771724,0.96791611122132,0.6650084971214772,0.8418455277277868,0.8418455277277868
10,8,26,155.07037186,4.1937,4.7211692333221436,0.0111,0.0801,34.32755,90.20875000000001,0.4278741666666666,False,False,False,725.3736019806848,0.0015377077790208274,0.8592097706637645,0.0,31.5681,37.087,0.0836,4.1101,442,2600,31.5681,37.087,0.8592097706637645,True,109.66024753000002,432.19771724,0.7858352255423539,0.6984536985198287,0.8592097706637645,0.8592097706637645
10,8,16,144.03023504,4.2353000000000005,4.754640102386475,0.0083,0.0627,32.064049999999995,90.2214,0.46559916666666673,False,False,False,464.66591158456026,0.0016393140143584123,0.8934387761493177,0.0,30.0586,34.0695,0.0659,4.1694,368,1600,30.0586,34.0695,0.8934387761493177,True,109.66024753000002,432.19771724,0.5003634910761545,0.7484244243109186,0.8934387761493177,0.8934387761493177
10,8,8,131.5344508,4.1978,4.710670232772827,0.0057,0.0531,29.15335,90.422,0.5141108333333333,False,False,False,215.3508467885924,0.0018110846103828874,0.9321808926892508,0.0,26.913,31.3937,0.0558,4.142,104,800,26.913,31.3937,0.9321808926892508,True,109.66024753000002,432.19771724,0.22736654239498202,0.8329025208016761,0.9321808926892508,0.9321808926892508
