prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,inverse_energy_normalized,headroom_threshold_met,energy_min,energy_max,throughput_normalized,edp_efficiency_normalized,performance_metric.1,reward,early_exit_layer,avg_entropy
10,9,26,160.36332538,4.1786,4.701132774353027,0.0113,0.0751,35.33055,89.6189,0.4111574999999999,False,False,False,715.5504916597683,0.0014923275134938,0.8427994183262237,0.0,32.1644,38.4967,0.0788,4.0998,390,2600,32.1644,38.4967,0.8427994183262237,True,109.66024753000002,432.19771724,0.7750790398045873,0.6761353358972796,0.8427994183262237,0.8427994183262237,4,9.0
10,9,16,146.72023148000002,4.2064,4.727406978607178,0.0082,0.0544,32.6402,89.71345,0.4559966666666666,False,False,False,433.62484936647735,0.0016203149050099,0.8850986709131146,0.0,30.3372,34.9432,0.0575,4.1489,224,1600,30.3372,34.9432,0.8850986709131146,True,109.66024753000002,432.19771724,0.4663739073488573,0.7390805166228327,0.8850986709131146,0.8850986709131146,14,3.3128
10,9,8,136.39289526,4.2051,4.724915504455566,0.0064,0.0529,30.37785,89.79875,0.4937025,False,False,False,214.9770005524243,0.0017435400298839,0.9171176987466422,0.0,28.2645,32.4912,0.0558,4.1493,104,800,28.2645,32.4912,0.9171176987466422,True,109.66024753000002,432.19771724,0.2269571853357391,0.7996835780903877,0.9171176987466422,0.9171176987466422,12,4.1424
10,9,5,132.39047564,4.2283,4.740478754043579,0.005,0.0518,28.50295,89.58494999999999,0.5249508333333334,False,False,False,133.62341044310705,0.0017863948729769,0.9295268604592292,0.0,25.6209,31.385,0.0546,4.1737,65,500,25.6209,31.385,0.9295268604592292,True,109.66024753000002,432.19771724,0.1378759985158498,0.8207599185915915,0.9295268604592292,0.9295268604592292,4,8.6533
10,9,4,131.04682812,4.2366,4.751246213912964,0.0045,0.0521,27.9752,89.8229,0.5337466666666667,False,False,False,110.46591359441211,0.0018011754697636,0.9336927253468283,0.0,24.9398,31.0106,0.0548,4.1818,68,400,24.9398,31.0106,0.9336927253468283,True,109.66024753000002,432.19771724,0.1125188225106161,0.8280291294486144,0.9336927253468283,0.9336927253468283,4,8.5325
10,9,3,128.78754194,4.203,4.719793319702148,0.004,0.0515,27.586,89.4302,0.5402333333333333,False,False,False,79.94287890961719,0.0018474247387202,0.9406974500444932,0.0,24.4499,30.7221,0.0538,4.1492,36,300,24.4499,30.7221,0.9406974500444932,True,109.66024753000002,432.19771724,0.0790964726006424,0.8507748746225607,0.9406974500444932,0.9406974500444932,4,8.4376
10,9,2,127.87966916,4.2027,4.716682195663452,0.0037,0.0515,27.5043,89.7124,0.5415949999999999,False,False,False,53.29905696360507,0.0018606732119676,0.9435122324039392,0.0,24.5038,30.5048,0.0538,4.1489,24,200,24.5038,30.5048,0.9435122324039392,True,109.66024753000002,432.19771724,0.0499218132256932,0.8572905753725861,0.9435122324039392,0.9435122324039392,4,8.7997
10,9,1,125.10895826,4.1593,4.681159496307373,0.0033,0.0484,27.11115,89.5737,0.5481475,False,False,False,27.889301591781887,0.0019217254656119,0.9521025859603528,0.0,24.0688,30.1535,0.0507,4.1086,16,100,24.0688,30.1535,0.9521025859603528,True,109.66024753000002,432.19771724,0.0220984416660178,0.8873165419449172,0.9521025859603528,0.9521025859603528,8,6.6165
10,8,32,160.67099084,4.2348,4.754762411117554,0.013,0.0986,32.03205,89.69295,0.4661325,False,False,False,891.6593719515982,0.0014697031432986,0.8418455277277868,0.0,25.8232,38.2409,0.1024,4.1324,576,3200,25.8232,38.2409,0.8418455277277868,True,109.66024753000002,432.19771724,0.96791611122132,0.6650084971214772,0.8418455277277868,0.8418455277277868,6,7.5742
10,8,26,155.07037186,4.1937,4.721169233322144,0.0111,0.0801,34.32755,90.20875,0.4278741666666666,False,False,False,725.3736019806848,0.0015377077790208,0.8592097706637645,0.0,31.5681,37.087,0.0836,4.1101,442,2600,31.5681,37.087,0.8592097706637645,True,109.66024753000002,432.19771724,0.7858352255423539,0.6984536985198287,0.8592097706637645,0.8592097706637645,4,8.598
10,8,16,144.03023504,4.2353000000000005,4.754640102386475,0.0083,0.0627,32.064049999999995,90.2214,0.4655991666666667,False,False,False,464.66591158456026,0.0016393140143584,0.8934387761493177,0.0,30.0586,34.0695,0.0659,4.1694,368,1600,30.0586,34.0695,0.8934387761493177,True,109.66024753000002,432.19771724,0.5003634910761545,0.7484244243109186,0.8934387761493177,0.8934387761493177,8,6.4911
10,8,8,131.5344508,4.1978,4.710670232772827,0.0057,0.0531,29.15335,90.422,0.5141108333333333,False,False,False,215.3508467885924,0.0018110846103828,0.9321808926892508,0.0,26.913,31.3937,0.0558,4.142,104,800,26.913,31.3937,0.9321808926892508,True,109.66024753000002,432.19771724,0.227366542394982,0.8329025208016761,0.9321808926892508,0.9321808926892508,4,7.7278
